C3,C4,Timestamp
-151224.4375019595,-120995.24539652413,1747830156.557709
-151203.31510344925,-120994.17251279028,1747830156.564735
-151224.41515021506,-120995.40185873532,1747830156.570737
-151200.09645224767,-120994.15016104582,1747830156.577805
-151223.45402520348,-120995.44656222423,1747830156.584794
-151198.46477490244,-120994.75365814612,1747830156.591815
-151223.3869699701,-120997.12294305838,1747830156.597802
-151196.90015279056,-120994.66425116829,1747830156.60484
-151220.7941676133,-120997.16764654728,1747830156.618877
-151196.27430394583,-120994.48543721264,1747830156.624839
-151217.37435071165,-120997.0111843361,1747830156.631907
-151196.00608301235,-120993.90429185682,1747830156.638894
-151211.31702796425,-120994.32897500147,1747830156.645896
-151196.05078650126,-120992.54083544503,1747830156.652933
-151207.74074885139,-120994.15016104582,1747830156.658906
-151201.45990865945,-120995.17834129077,1747830156.665941
-151205.05853951676,-120994.75365814612,1747830156.671915
-151201.437556915,-120992.96551858968,1747830156.678941
-151201.05757725926,-120994.57484419047,1747830156.685982
-151201.48226040392,-120991.06562031098,1747830156.69297
-151190.75342306535,-120988.45046620972,1747830156.698988
-151200.43172841452,-120988.24930050962,1747830156.705994
-151186.12661196312,-120987.48934119813,1747830156.711955
-151203.27039996034,-120989.92568134377,1747830156.736129
-151183.71262356194,-120988.51752144308,1747830156.743119
-151199.9399900365,-120986.23764350863,1747830156.749099
-151176.4259548695,-120984.29304174102,1747830156.756113
-151200.96817028144,-120987.46698945368,1747830156.763107
-151174.99544322438,-120985.36592547488,1747830156.769072
-151200.69994934797,-120988.24930050962,1747830156.776085
-151173.76609727932,-120985.27651849706,1747830156.782127
-151198.688292347,-120987.80226562051,1747830156.789137
-151172.4920478454,-120984.62831790786,1747830156.79615
-151195.51434463434,-120987.95872783169,1747830156.802146
-151171.82149551171,-120984.94124233023,1747830156.80913
-151192.04982424376,-120989.09866679892,1747830156.815153
-151171.41916411152,-120984.98594581913,1747830156.824193
-151187.691234075,-120989.47864645466,1747830156.83222
-151175.3307193912,-120988.09283829843,1747830156.841232
-151182.70679506144,-120988.74103888763,1747830156.849273
-151176.40360312507,-120987.46698945368,1747830156.856244
-151176.24714091388,-120987.08700979794,1747830156.863249
-151176.3365478917,-120986.08118129746,1747830156.873254
-151172.80497226777,-120988.36105923189,1747830156.882198
-151177.9905769814,-120986.63997490883,1747830156.888228
-151165.33948961968,-120985.16475977478,1747830156.895245
-151181.65626307204,-120988.96455633218,1747830156.903242
-151164.91480647502,-120988.51752144308,1747830156.912326
-151181.3433386497,-120987.98107957616,1747830156.920312
-151157.89635871607,-120984.69537314122,1747830156.929369
-151179.26462641533,-120985.76825687508,1747830156.936305
-151157.35991684915,-120986.34940223092,1747830156.943325
-151180.06928921572,-120986.57291967547,1747830156.952303
-151152.91191970254,-120983.71189638518,1747830156.960316
-151177.00710022534,-120985.23181500816,1747830156.966418
-151150.1179516456,-120981.92375682876,1747830156.975413
-151176.1800856805,-120986.77408537557,1747830156.983489
-151151.0790766572,-120983.19780626272,1747830157.008495
-151171.3744606226,-120984.94124233023,1747830157.014415
-151151.43670456848,-120982.92958532926,1747830157.021466
-151168.31227163223,-120985.45533245271,1747830157.02853
-151149.93913768997,-120980.31443122798,1747830157.035536
-151160.64562328407,-120981.99081206213,1747830157.04246
-151155.39296333707,-120984.6059661634,1747830157.048534
-151158.5669110497,-120984.94124233023,1747830157.055515
-151155.68353601499,-120983.86835859637,1747830157.061538
-151153.80598948075,-120985.05300105251,1747830157.06851
-151157.9187104605,-120984.33774522993,1747830157.075575
-151147.18987312197,-120982.28138474005,1747830157.096623
-151155.1694458925,-120979.84504459442,1747830157.103634
-151138.49504452886,-120977.27459398206,1747830157.110678
-151157.5834342937,-120980.96263181718,1747830157.117677
-151134.672896227,-120976.46993118167,1747830157.123678
-151154.2753761143,-120976.93931781522,1747830157.130702
-151132.16950084802,-120976.91696607077,1747830157.137715
-151154.99063193687,-120978.07925678245,1747830157.143708
-151132.10244561464,-120979.17449226076,1747830157.150738
-151155.95175694846,-120980.51559692807,1747830157.157741
-151128.90614615753,-120977.4534079377,1747830157.163777
-151154.20832088095,-120980.73911437263,1747830157.170753
-151125.59808797814,-120974.86060558089,1747830157.176766
-151145.60289926565,-120974.68179162525,1747830157.184762
-151122.13356758756,-120970.32320145646,1747830157.197803
-151143.54653877576,-120975.1511782588,1747830157.204822
-151124.34639028864,-120971.03845727904,1747830157.210822
-151141.53488177477,-120976.22406199266,1747830157.21783
-151128.81673917972,-120973.16187300229,1747830157.223845
-151136.37162880562,-120974.39121894732,1747830157.233873
-151130.04608512475,-120972.37956194635,1747830157.240881
-151127.90031765704,-120970.43496017874,1747830157.248878
-151130.09078861366,-120970.79258809001,1747830157.25688
-151126.04512286725,-120973.09481776891,1747830157.2649
-151133.60001249315,-120972.804245091,1747830157.272914
-151120.21131756442,-120971.48549216814,1747830157.286976
-151131.36483804762,-120969.42913167825,1747830157.293939
-151115.4727477399,-120970.56907064546,1747830157.301965
-151130.69428571395,-120967.90921305529,1747830157.308984
-151107.3143610137,-120965.18230023174,1747830157.316017
-151130.35900954713,-120967.1045502549,1747830157.32202
-151107.49317496934,-120967.28336421054,1747830157.329028
-151130.6719339695,-120967.70804735519,1747830157.336121
-151101.5699626887,-120963.05888450849,1747830157.344106
-151126.91684090102,-120965.6516868653,1747830157.353099
-151100.8100033772,-120962.96947753067,1747830157.36209
-151123.65348621053,-120964.95878278719,1747830157.368104
-151099.40184347652,-120961.8518903079,1747830157.375082
-151122.13356758756,-120966.52340489905,1747830157.384109
-151100.83235512167,-120962.7012565972,1747830157.391075
-151118.84786115264,-120966.9033845548,1747830157.401112
-151103.13458480057,-120963.97530603115,1747830157.408117
-151111.69530292694,-120964.17647173125,1747830157.416119
-151103.0675295672,-120962.52244264155,1747830157.424204
-151104.98977959034,-120962.16481473028,1747830157.433208
-151104.25217202332,-120962.54479438602,1747830157.440229
